LOKACIJA_VZR,Y,X
37634,447371,132232
41741,555693,128628
36047,532962,92855
40119,522221,113345
30422,603368,163409
36082,454280,106359
36084,454130,65754
31138,606905,162625
40225,480329,100950
40436,524433,125383
31260,502759,97292
36012,497046,98994
39126,598794,167259
41699,412912,115640
33287,589900,177314
39936,590706,172435
42001,596832,160937
42002,618391,150138
32761,438091,132223
32762,440096,139963
42858,563430,134746
32372,553847,163088
32375,552028,166017
30392,601221,159356
31274,482591,100850
31275,480952,98661
31447,485293,79317
30831,472367,93916
42862,560005,134312
35044,532134,111931
33599,412293,76928
37482,542132,139483
42533,528327,127631
40229,482715,97867
44433,601449,161877
44701,411855,105295
46519,462699,102447
47725,405042,71337
50704,532733,106304
50705,533470,105209
48473,488137,75749
48882,527441,93060
48483,560788,138386
59246,458133,116169
61637,486214,96695
61848,454275,106356
61849,449515,106643
61830,488686,150011
61831,494309,156691
55695,525616,112767
61808,582966,168398
61809,585255,171100
61806,609666,160351
58878,581576,163229
64156,565576,151325
64118,474210,131207
64119,473760,131557
65664,500739,89239
65730,546571,129791
65956,529823,108225
69023,560596,127590
69841,529199,90027
74004,590299,179228
69069,478291,115789
66330,581981,166200
71874,500114,135930
65793,487114,116421
69550,501994,98699
76322,529267,91989
42739,483092,100134
44273,503510,132895
76495,605383,166482
